dim1,dim1,Cluster Rank,Break Rank,NoOfNNRequiredNNForClusterBreak,Noise Rank,NoOfNNRequiredForNoiseBreak,AbsoluteClusterRank,AbsoluteNoiseRank,AbsoluteRank,AbsoluteRankNormalised,ClusterNO,ClusterSize,NoOfNearestNeighbour,NoOfNoisePointsUsedToCalculateNoiseRank
539.512024,411.975006,0.0,0.0,0,0.3333333333333333,0,0.0,0.0,0.0,0.0,43,2167,11,0
653.468994,370.727997,0.75,33.391615714128,3,0.0,0,6.260927946399001,0.0,0.0,0.0,33,230,5,0
598.585999,284.882996,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,43,2167,6,0
573.062988,294.562988,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,43,2167,10,0
139.570007,401.381012,0.0,0.0,0,1.0857142857142859,4,0.0,0.21714285714285717,0.0,0.0,29,2676,5,1
228.970001,281.992004,0.0,0.0,0,1.2000000000000002,4,0.0,0.24000000000000005,0.0,0.0,29,2676,6,1
305.747009,94.350998,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,24,936,9,0
610.617004,167.190002,0.0,0.0,0,1.6857142857142857,0,0.0,0.0,0.0,0.0,43,2167,6,0
500.450012,118.780998,1.0,58.68560300448484,0,0.0,0,58.68560300448484,0.0,0.0,0.0,16,579,7,0
341.804993,361.755005,0.2777777777777778,0.0,0,0.8888888888888888,0,0.0,0.0,0.0,0.0,8,276,9,0
128.582993,81.598999,0.0,0.0,0,0.4,0,0.0,0.0,0.0,0.0,24,936,5,0
39.105,381.265991,0.1111111111111111,0.0,0,4.0,1,0.0,6.0,0.0,0.0,29,2676,5,3
294.911987,421.480011,0.0,0.0,0,1.3333333333333333,5,0.0,0.2222222222222222,0.0,0.0,29,2676,8,1
189.214005,322.730011,2.1666666666666665,41.10960958218893,0,0.0,0,89.07082076140934,0.0,0.0,0.0,20,342,5,0
251.889008,69.384003,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,24,936,3,0
116.098999,296.382996,0.0,0.0,0,2.6666666666666665,2,0.0,0.8888888888888888,0.0,0.0,29,2676,6,1
86.839996,307.89801,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,29,2676,2,0
509.272003,429.165985,0.0,0.0,0,1.3285714285714285,4,0.0,0.2657142857142857,0.0,0.0,43,2167,6,1
90.306999,73.486,0.9166666666666665,379.1490472096692,2,0.0,0,115.85109775851002,0.0,0.0,0.0,24,936,10,0
269.270996,163.341995,0.0,0.0,0,0.8953823953823953,10,0.0,0.08139839958021776,0.0,0.0,2,1025,12,1
137.112,289.688995,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,29,2676,8,0
63.613998,406.865997,0.0,0.0,0,0.8818181818181818,0,0.0,0.0,0.0,0.0,29,2676,5,0
224.473007,92.762001,0.5277777777777777,449.1157979853303,3,0.0,0,59.25833445639773,0.0,0.0,0.0,24,936,8,0
345.226013,306.391998,0.25,0.0,0,1.3333333333333333,2,0.0,1.3333333333333333,0.0,0.0,18,19,5,3
188.507996,282.093994,0.09090909090909091,0.0,0,0.18181818181818182,0,0.0,0.0,0.0,0.0,29,2676,9,0
47.276001,338.063995,0.0,0.0,0,1.1666666666666665,2,0.0,0.38888888888888884,0.0,0.0,29,2676,4,1
543.882019,319.738007,0.0,0.0,0,0.8484848484848484,8,0.0,0.09427609427609426,0.0,0.0,43,2167,11,1
84.786003,158.792007,0.0,0.0,0,1.85,5,0.0,0.6166666666666667,0.0,0.0,2,1025,14,2
542.72998,307.096008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,43,2167,5,0
430.753998,387.63501,0.1,0.0,0,0.4444444444444444,0,0.0,0.0,0.0,0.0,29,2676,7,0
578.630005,455.946991,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,43,2167,8,0
374.859009,346.17099,0.14285714285714285,0.0,0,0.0,0,0.0,0.0,0.0,0.0,8,276,6,0
185.274002,91.510002,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,24,936,4,0
561.465027,397.192993,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,43,2167,3,0
